Card Name,Role,Rarity,Price,Owned,Proxy Needed,Edition
Agate Instigator,Tokens,Rare,$7.51,Yes,No,Bloomburrow Commander
Ainok Survivalist,Combo Piece,Common,$0.25,Yes,No,Fate Reforged
Arbor Elf,Ramp,Common,$0.50,Yes,No,Magic 2013
Arcane Signet,Ramp,Common,$0.57,Yes,No,Phyrexia: All Will Be One Commander
Arcane Signet,Ramp,Common,$0.57,Yes,No,Phyrexia: All Will Be One Commander
Arid Archway,Lands,Uncommon,$0.62,Yes,No,Outlaws of Thunder Junction
Ashnod's Altar,Combo Piece,Uncommon,$3.00,Yes,No,Modern Horizons 3 Commander
Austere Command,Removal,Rare,$0.88,Yes,No,Modern Horizons 3 Commander
Avacyn's Pilgrim,Ramp,Common,$0.43,Yes,No,Starter Commander Decks
Avenger of Zendikar,Win Condition,Mythic,$1.50,Yes,No,Commander Masters
Beast Whisperer,Draw,Rare,$2.50,Yes,No,Murders at Karlov Manor Commander
Beast Within,Removal,Uncommon,$0.51,Yes,No,Duskmourn: House of Horror Commander
Birds of Paradise,Ramp,Rare,$12.23,Yes,No,Dominaria Remastered
Blasphemous Act,Removal,Rare,$0.78,Yes,No,Edge of Eternities Commander
Blasting Station,Win Condition,Uncommon,$8.35,No,Yes,
Blessed Sanctuary,Utility,Rare,$3.35,Yes,No,Jumpstart
Bloom Tender,Ramp,Mythic,$12.92,Yes,No,Lorwyn Eclipsed
Boss's Chauffeur,Interaction,Rare,$0.26,Yes,No,Bloomburrow Commander
Bountiful Promenade,Lands,Rare,$18.08,Yes,No,Commander Legends: Battle for Baldur's Gate
Cankerbloom,Removal,Uncommon,$0.50,Yes,No,Phyrexia: All Will Be One
Canopy Vista,Lands,Rare,$0.35,Yes,No,The Lost Caverns of Ixalan Commander
Cathars' Crusade,Utility,Rare,$8.17,Yes,No,Commander 2014
Champion of Lambholt,Utility,Rare,$2.22,Yes,No,Starter Commander Decks
Chocobo Kick,Interaction,Common,$0.21,Yes,No,Final Fantasy
Cinder Glade,Lands,Rare,$0.26,Yes,No,Edge of Eternities Commander
Cloudstone Curio,Combo Piece,Mythic,$15.59,No,Yes,
Command Tower,Lands,Common,$0.33,Yes,No,Lorwyn Eclipsed Commander
Confusion in the Ranks,Utility,Rare,$21.90,Yes,No,Mirrodin
Cultivate,Ramp,Common,$0.50,Yes,No,Commander Masters
Culvert Ambusher,Utility,Common,$0.20,Yes,No,Edge of Eternities
Deathmist Raptor,Combo Piece,Mythic,$0.50,Yes,No,Dragons of Tarkir
Delighted Halfling,Ramp,Rare,$27.01,Yes,No,The Lord of the Rings: Tales of Middle-earth
Den Protector,Combo Piece,Rare,$0.50,Yes,No,Dragons of Tarkir
Elvish Mystic,Ramp,Common,$0.91,Yes,No,Commander Masters
Elvish Mystic,Ramp,Common,$0.91,Yes,No,Commander Masters
Embodiment of Insight,Win Condition,Uncommon,$0.50,Yes,No,Oath of the Gatewatch
Emerald Medallion,Ramp,Rare,$5.00,Yes,No,Commander Masters
Enduring Innocence,Draw,Rare,$5.56,Yes,No,Duskmourn: House of Horror
Esper Sentinel,Draw,Rare,$55.00,Yes,No,Modern Horizons 2
Essence Warden,Utility,Common,$6.52,Yes,No,Tales of Middle-earth Commander
Eternal Witness,Recursion,Uncommon,$1.24,Yes,No,Starter Commander Decks
Eternal Witness,Recursion,Uncommon,$1.24,Yes,No,Starter Commander Decks
Evolutionary Leap,Combo Piece,Rare,$3.00,Yes,No,Magic Origins
Exotic Orchard,Lands,Rare,$0.26,Yes,No,Lorwyn Eclipsed Commander
Explore,Ramp,Common,$0.25,Yes,No,Khans of Tarkir
Farseek,Ramp,Common,$1.32,Yes,No,The Lost Caverns of Ixalan Commander
Fecundity,Draw,Uncommon,$1.50,Yes,No,Urza's Saga
Fellwar Stone,Ramp,Uncommon,$0.77,Yes,No,Lorwyn Eclipsed Commander
Flourishing Bloom-Kin,Utility,Rare,$0.50,Yes,No,Bloomburrow
Forest,Lands,Common,$0.15,Yes,No,Secrets of Strixhaven
Forest,Lands,Common,$0.15,Yes,No,Secrets of Strixhaven
Fyndhorn Elves,Ramp,Common,$2.49,Yes,No,Deckmasters
Gala Greeters,Tokens,Rare,$0.44,Yes,No,Streets of New Capenna
Gandalf the White,Interaction,Mythic,$8.71,Yes,No,The Lord of the Rings: Tales of Middle-earth
Garruk's Uprising,Draw,Uncommon,$0.50,Yes,No,Core Set 2021
"General Kreat, the Boltbringer",Win Condition,Uncommon,$8.08,Yes,No,Foundations Jumpstart
Generous Gift,Removal,Uncommon,$1.63,Yes,No,The Lost Caverns of Ixalan Commander
Genesis Chamber,Tokens,Uncommon,$2.86,Yes,No,Darksteel
Gimli of the Glittering Caves,Tokens,Rare,$1.38,Yes,No,Tales of Middle-earth Commander
Greenbelt Radical,Utility,Common,$0.25,Yes,No,Modern Horizons 3
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",Ramp,Rare,$8.99,Yes,No,The Lost Caverns of Ixalan
Guardian Project,Draw,Rare,$12.56,Yes,No,Fallout
Guildless Commons,Lands,Uncommon,$4.20,Yes,No,Commander Masters
"Haliya, Guided by Light",Interaction,Rare,$3.03,Yes,No,Edge of Eternities
Harmonize,Draw,Uncommon,$0.50,Yes,No,Planar Chaos
Harrow,Ramp,Common,$0.50,Yes,No,Invasion
Hauntwoods Shrieker,Combo Piece,Common,$0.25,Yes,No,Duskmourn: House of Horror
Helping Hand,Recursion,Uncommon,$0.32,Yes,No,The Lost Caverns of Ixalan
Heroic Intervention,Interaction,Mythic,$14.37,Yes,No,Core Set 2021
Heroic Intervention,Interaction,Mythic,$14.37,Yes,No,Core Set 2021
Heronblade Elite,Utility,Rare,$3.38,Yes,No,Midnight Hunt Commander
Impact Tremors,Win Condition,Common,$4.94,Yes,No,March of the Machine Commander
Irreverent Gremlin,Tokens,Uncommon,$0.21,Yes,No,Duskmourn: House of Horror
Jungle Basin,Lands,Uncommon,$0.60,Yes,No,Commander Legends
Jungle Shrine,Lands,Uncommon,$0.68,Yes,No,The Lost Caverns of Ixalan Commander
Kazandu Stomper,Win Condition,Common,$0.25,Yes,No,Zendikar Rising
Kenrith's Transformation,Removal,Uncommon,$0.50,Yes,No,Throne of Eldraine
Kodama of the East Tree,Ramp,Rare,$3.13,Yes,No,Bloomburrow Commander
Kodama's Reach,Ramp,Common,$0.50,Yes,No,Commander Masters
Life and Limb,Combo Piece,Rare,$5.00,Yes,No,Time Spiral
Lightning Greaves,Interaction,Uncommon,$2.00,Yes,No,Commander Masters
Living Lands,Utility,Rare,$2.00,Yes,No,Limited Edition Alpha
Llanowar Elves,Ramp,Common,$0.31,Yes,No,Core Set 2019
Llanowar Elves,Ramp,Common,$0.31,Yes,No,Core Set 2019
Lotus Cobra,Ramp,Rare,$6.49,Yes,No,Iconic Masters
Mentor of the Meek,Draw,Rare,$0.16,Yes,No,Starter Commander Decks
