Card Name,Board,Mana Cost,Type
"Toski, Bearer of Secrets",Main,{3}{G},Creature
"Kamahl, Heart of Krosa",Main,{6}{G}{G},Creature
Silverback Elder,Main,{2}{G}{G}{G},Creature
Basilisk Collar,Main,{1},Artifact
Elvish Mystic,Main,{G},Creature
Sakura-Tribe Elder,Main,{1}{G},Creature
Soul of the Harvest,Main,{4}{G}{G},Creature
Fabled Passage,Main,,Land
Atraxa's Skitterfang,Main,{3},Creature
Champion of Lambholt,Main,{1}{G}{G},Creature
"Purphoros, God of the Forge",Main,{3}{R},Creature
"Saryth, the Viper's Fang",Main,{2}{G}{G},Creature
Karplusan Forest,Main,,Land
"Goreclaw, Terror of Qal Sisma",Main,{3}{G},Creature
Guardian Project,Main,{3}{G},Enchantment
Craterhoof Behemoth,Main,{5}{G}{G}{G},Creature
Mana Confluence,Main,,Land
Loxodon Warhammer,Main,{3},Artifact
Shadowspear,Main,{1},Artifact
Amarant Coral,Maybe,{2}{R}{G},Creature
Forest,Main,,Land
Bane of Progress,Main,{4}{G}{G},Creature
Garruk's Uprising,Main,{2}{G},Enchantment
Anger,Main,{3}{R},Creature
Rockfall Vale,Main,,Land
Priest of Titania,Main,{1}{G},Creature
"Ruric Thar, the Unbowed",Main,{4}{R}{G},Commander
Swiftfoot Boots,Main,{2},Artifact
Scryb Ranger,Main,{1}{G},Creature
Llanowar Elves,Main,{G},Creature
Fauna Shaman,Main,{1}{G},Creature
Myriad Landscape,Main,,Land
"Yisan, the Wanderer Bard",Main,{2}{G},Creature
Cinder Glade,Main,,Land
Orcish Lumberjack,Main,{R},Creature
Dragonborn Champion,Main,{2}{R}{G},Creature
Goblin Anarchomancer,Main,{R}{G},Creature
Enduring Courage,Main,{2}{R}{R},Creature
Mountain,Main,,Land
Reclamation Sage,Main,{2}{G},Creature
Rootbound Crag,Main,,Land
Command Tower,Main,,Land
Collector Ouphe,Main,{1}{G},Creature
Stomping Ground,Main,,Land
Natural Order,Main,{2}{G}{G},Sorcery
Exotic Orchard,Maybe,,Land
Witch's Clinic,Main,,Land
Game Trail,Main,,Land
Zhur-Taa Druid,Main,{R}{G},Creature
Eternal Witness,Main,{1}{G}{G},Creature
Augur of Autumn,Main,{1}{G}{G},Creature
Disciple of Freyalise // Garden of Freyalise,Main,{1}{G},Creature
Mossfire Valley,Main,,Land
"Kediss, Emberclaw Familiar",Main,{1}{R},Creature
Spire Garden,Main,,Land
Asceticism,Main,{3}{G}{G},Enchantment
Somberwald Sage,Main,{2}{G},Creature
Thornspire Verge,Main,,Land
Beast Whisperer,Main,{2}{G}{G},Creature
Twinflame Tyrant,Main,{3}{R}{R},Creature
Wurmcoil Engine,Main,{6},Creature
Birds of Paradise,Main,{G},Creature
"Dragonhawk, Fate's Tempest",Main,{3}{R}{R},Creature
Fyndhorn Elves,Main,{G},Creature
"Tyvar, the Pummeler",Main,{1}{G}{G},Creature
Urabrask the Hidden,Main,{3}{R}{R},Creature
Vexing Shusher,Main,{R/G}{R/G},Creature
Ancient Ziggurat,Main,,Land
Ohran Frostfang,Main,{3}{G}{G},Creature
"Nylea, Keen-Eyed",Maybe,{3}{G},Creature
Delighted Halfling,Main,{G},Creature
Kogla and Yidaro,Main,{2}{R}{R}{G}{G},Creature
Archetype of Endurance,Main,{6}{G}{G},Creature
Nikya of the Old Ways,Main,{3}{R}{G},Creature
Manglehorn,Main,{2}{G},Creature
"Gwenna, Eyes of Gaea",Main,{2}{G},Creature
Wooded Foothills,Main,,Land
Arbor Elf,Main,{G},Creature
Sol Ring,Main,{1},Artifact
Haywire Mite,Main,{1},Creature
"Lizard, Connors's Curse",Main,{2}{G}{G},Creature
Bloom Tender,Maybe,{1}{G},Creature
Sylvan Safekeeper,Main,{G},Creature
Scavenging Ooze,Main,{1}{G},Creature
Tranquil Frillback,Main,{2}{G},Creature
Old Gnawbone,Main,{5}{G}{G},Creature
Windswept Heath,Main,,Land
