Card Name,Role,Rarity,Price,Owned,Proxy Needed,Edition
Gala Greeters,Tokens,Rare,$0.44,Yes,No,Streets of New Capenna
Impact Tremors,Win Condition,Common,$4.94,Yes,No,March of the Machine Commander
Warleader's Call,Win Condition,Rare,$7.79,Yes,No,Murders at Karlov Manor
"Rocco, Cabaretti Caterer",Utility,Uncommon,$2.03,Yes,No,Streets of New Capenna
Panharmonicon,Combo Piece,Rare,$9.46,Yes,No,The List
Norin the Wary,Combo Piece,Rare,$23.11,Yes,No,Time Spiral
"Purphoros, God of the Forge",Win Condition,Mythic,$29.03,Yes,No,The List
Irreverent Gremlin,Tokens,Uncommon,$0.21,Yes,No,Duskmourn: House of Horror
Soul of the Harvest,Draw,Rare,$2.48,Yes,No,Explorers of Ixalan
Genesis Chamber,Tokens,Uncommon,$2.86,Yes,No,Darksteel
"General Kreat, the Boltbringer",Win Condition,Uncommon,$8.08,Yes,No,Foundations Jumpstart
Molten Gatekeeper,Utility,Common,$0.27,Yes,No,Modern Horizons 3
Saltskitter,Combo Piece,Common,$0.18,Yes,No,Future Sight
Confusion in the Ranks,Utility,Rare,$21.90,Yes,No,Mirrodin
Agate Instigator,Tokens,Rare,$7.51,Yes,No,Bloomburrow Commander
Warstorm Surge,Win Condition,Rare,$0.64,Yes,No,Bloomburrow Commander
Weftstalker Ardent,Tokens,Uncommon,$0.80,Yes,No,Edge of Eternities
Gimli of the Glittering Caves,Tokens,Rare,$1.38,Yes,No,Tales of Middle-earth Commander
Witty Roastmaster,Win Condition,Common,$0.88,Yes,No,Streets of New Capenna
Guardian Project,Draw,Rare,$12.56,Yes,No,Fallout
Welcoming Vampire,Draw,Rare,$3.21,Yes,No,Murders at Karlov Manor Commander
Cathars' Crusade,Utility,Rare,$8.17,Yes,No,Commander 2014
Tocasia's Welcome,Draw,Rare,$2.56,Yes,No,The Brothers' War
Mentor of the Meek,Draw,Rare,$0.16,Yes,No,Starter Commander Decks
"Torbran, Thane of Red Fell",Win Condition,Rare,$3.13,Yes,No,Throne of Eldraine
Arcane Signet,Ramp,Common,$0.57,Yes,No,Phyrexia: All Will Be One Commander
Rumor Gatherer,Draw,Uncommon,$0.38,Yes,No,Streets of New Capenna
Essence Warden,Utility,Common,$6.52,Yes,No,Tales of Middle-earth Commander
Heronblade Elite,Utility,Rare,$3.38,Yes,No,Midnight Hunt Commander
Suture Priest,Utility,Common,$5.77,Yes,No,March of the Machine Commander
Wall of Blossoms,Draw,Uncommon,$0.33,Yes,No,Jumpstart
Esper Sentinel,Draw,Rare,$55.00,Yes,No,Modern Horizons 2
Delighted Halfling,Ramp,Rare,$27.01,Yes,No,The Lord of the Rings: Tales of Middle-earth
Bloom Tender,Ramp,Mythic,$12.92,Yes,No,Lorwyn Eclipsed
Champion of Lambholt,Utility,Rare,$2.22,Yes,No,Starter Commander Decks
"Saradoc, Master of Buckland",Utility,Rare,$0.39,Yes,No,The Lord of the Rings: Tales of Middle-earth
Birds of Paradise,Ramp,Rare,$12.23,Yes,No,Dominaria Remastered
Enduring Innocence,Draw,Rare,$5.56,Yes,No,Duskmourn: House of Horror
Blessed Sanctuary,Utility,Rare,$3.35,Yes,No,Jumpstart
Avacyn's Pilgrim,Ramp,Common,$0.43,Yes,No,Starter Commander Decks
Eternal Witness,Recursion,Uncommon,$1.24,Yes,No,Starter Commander Decks
Llanowar Elves,Ramp,Common,$0.31,Yes,No,Core Set 2019
"Haliya, Guided by Light",Interaction,Rare,$3.03,Yes,No,Edge of Eternities
Wild Growth,Ramp,Common,$0.35,Yes,No,Fourth Edition
Austere Command,Removal,Rare,$0.88,Yes,No,Modern Horizons 3 Commander
Sol Ring,Ramp,Uncommon,$1.19,Yes,No,Tarkir: Dragonstorm Commander
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",Ramp,Rare,$8.99,Yes,No,The Lost Caverns of Ixalan
Farseek,Ramp,Common,$1.32,Yes,No,The Lost Caverns of Ixalan Commander
Sevinne's Reclamation,Recursion,Rare,$0.40,Yes,No,Modern Horizons 3
Boss's Chauffeur,Interaction,Rare,$0.26,Yes,No,Bloomburrow Commander
Heroic Intervention,Interaction,Mythic,$14.37,Yes,No,Core Set 2021
Wirewood Symbiote,Recursion,Uncommon,$0.29,Yes,No,Modern Horizons 3
Relic of Legends,Ramp,Uncommon,$2.74,Yes,No,Dominaria United
Elvish Mystic,Ramp,Common,$0.91,Yes,No,Commander Masters
Kodama of the East Tree,Ramp,Rare,$3.13,Yes,No,Bloomburrow Commander
Smothering Tithe,Ramp,Rare,$52.28,Yes,No,Ravnica Allegiance
Gandalf the White,Interaction,Mythic,$8.71,Yes,No,The Lord of the Rings: Tales of Middle-earth
Survivors' Bond,Recursion,Common,$0.16,Yes,No,Ikoria: Lair of Behemoths
Helping Hand,Recursion,Uncommon,$0.32,Yes,No,The Lost Caverns of Ixalan
Samwise Gamgee,Recursion,Rare,$0.93,Yes,No,The Lord of the Rings: Tales of Middle-earth
Stomping Ground,Lands,Rare,$6.76,Yes,No,Edge of Eternities
Canopy Vista,Lands,Rare,$0.35,Yes,No,The Lost Caverns of Ixalan Commander
Temple Garden,Lands,Rare,$8.42,Yes,No,Return to Ravnica
Plains,Lands,Common,$0.82,Yes,No,Secrets of Strixhaven
Swords to Plowshares,Removal,Uncommon,$1.31,Yes,No,Edge of Eternities Commander
Forest,Lands,Common,$0.15,Yes,No,Secrets of Strixhaven
